alternative_id,dataset_id,subset,g1,g2,g3,g4,class_label,class_index
a206,polish_research_units_si,SI,0.22385285824147655,0.08111257339160668,0.12027644632705384,0.9,Cl2,2
a207,polish_research_units_si,SI,0.3875288387592925,0.1709208973290546,0.21870471519340098,0.96,Cl3,3
a211,polish_research_units_si,SI,0.2001409894898744,0.14165852775588547,0.04659458254375209,0.53,Cl1,1
a212,polish_research_units_si,SI,0.08991284286080492,0.19654055440123386,0.16999219707947832,0.85,Cl2,2
a220,polish_research_units_si,SI,0.7494232248141502,1.0,0.073458923196968,1.0,Cl4,4
a221,polish_research_units_si,SI,0.6905280697257113,0.15861260167353605,0.01404525693902575,0.7,Cl2,2
a222,polish_research_units_si,SI,0.5775442194309152,0.11808648236904523,0.06231189388028091,0.86,Cl3,3
a223,polish_research_units_si,SI,0.7070622917200718,0.42799986424673914,0.05060751309775945,0.9,Cl3,3
a230,polish_research_units_si,SI,0.1497692899256601,0.011312771742204557,0.10645412997436185,0.6,Cl2,2
a231,polish_research_units_si,SI,0.4122019994873109,0.1352328734063133,0.23018615538958867,0.81,Cl3,3
a238,polish_research_units_si,SI,0.5622917200717764,0.0539317538190032,0.06944599264296065,0.72,Cl3,3
a239,polish_research_units_si,SI,0.45757498077416053,0.03088763778013251,0.015940251922862556,0.55,Cl2,2
a240,polish_research_units_si,SI,0.410792104588567,0.08542651034930068,0.052056626908928774,0.64,Cl2,2
a243,polish_research_units_si,SI,0.733017175083312,0.25020834354625227,0.05339427042693123,0.95,Cl3,3
a244,polish_research_units_si,SI,0.09503973340169188,0.06213728425601557,0.19384683981718873,0.7,Cl2,2
a246,polish_research_units_si,SI,0.13560625480645988,0.12772496389340351,0.331958533050942,0.77,Cl2,2
a247,polish_research_units_si,SI,0.034286080492181494,0.27640872290119806,0.02909374651655334,0.8,Cl1,1
a248,polish_research_units_si,SI,0.2771725198667009,0.16445376281642765,0.09029093746516553,0.65,Cl2,2
a249,polish_research_units_si,SI,0.2840938220968982,0.01846244348327784,0.09207446215583548,0.48,Cl2,2
a250,polish_research_units_si,SI,0.5270443476031786,0.32203690226142306,0.19295507747185375,0.98,Cl3,3
a251,polish_research_units_si,SI,0.690912586516278,0.2997318873097098,0.029985508861888308,1.0,Cl4,4
a253,polish_research_units_si,SI,0.37541655985644706,0.05770644865698545,0.11369969903020845,0.5,Cl2,2
a254,polish_research_units_si,SI,0.20770315303768264,0.059275153005237814,0.22717645747408316,0.6,Cl2,2
a255,polish_research_units_si,SI,0.11522686490643426,0.09522337067804984,0.0911826998105005,0.6,Cl2,2
a260,polish_research_units_si,SI,0.2950525506280441,0.22022195658158206,0.23754319473860216,0.9,Cl3,3
a261,polish_research_units_si,SI,0.7398743911817484,0.2167074554936705,0.08962211570616431,0.78,Cl3,3
a262,polish_research_units_si,SI,0.2985132017431428,0.08495891578395623,0.16218927655779736,0.7,Cl2,2
a265,polish_research_units_si,SI,0.18162009741092028,0.21054953674199717,0.2655222383234868,0.77,Cl3,3
a266,polish_research_units_si,SI,0.4798769546270187,0.013484823916707833,0.21413443317355926,0.55,Cl3,3
a270,polish_research_units_si,SI,0.7387849269418099,0.23270371473714777,0.03489020176123064,0.7,Cl3,3
a271,polish_research_units_si,SI,0.2162906946936683,0.08087500518502039,0.40619774830007804,0.9,Cl3,3
a272,polish_research_units_si,SI,0.30357600615226865,0.0694340220297375,0.1840374540185041,0.69,Cl3,3
a277,polish_research_units_si,SI,0.4938477313509357,0.09571359078687869,0.17266748411548324,0.7,Cl3,3
a283,polish_research_units_si,SI,0.516982824916688,0.15664795031430653,0.1100211793557017,0.61,Cl3,3
a284,polish_research_units_si,SI,0.4993591386823892,0.06544438452865337,0.08360271987515328,0.55,Cl2,2
a285,polish_research_units_si,SI,0.6359907715970264,0.45722829550468164,0.044365176680414675,1.0,Cl4,4
a286,polish_research_units_si,SI,0.03422199436042041,0.09185593562278695,0.34477761676513213,0.58,Cl2,2
a289,polish_research_units_si,SI,0.15290951038195336,0.027146881257376868,0.07791773492364286,0.4,Cl1,1
a293,polish_research_units_si,SI,0.4810305049987183,0.024661842398005937,0.06632482443428826,0.8,Cl3,3
a297,polish_research_units_si,SI,0.4006024096385542,0.07315969485683688,0.05941366625794226,0.8,Cl2,2
a304,polish_research_units_si,SI,0.12471161240707512,0.29605900741740737,0.25760784750863897,0.8,Cl3,3
a305,polish_research_units_si,SI,0.13195334529607794,0.11465871253115727,0.10667707056069559,0.75,Cl1,1
a306,polish_research_units_si,SI,0.14855165342219945,0.10926252041012569,0.18370304313900349,0.8,Cl3,3
a307,polish_research_units_si,SI,0.3154960266598308,0.08285851116382024,0.14290491583992868,0.66,Cl2,2
a308,polish_research_units_si,SI,0.4532812099461677,0.042030717946204,0.12562702039906365,0.71,Cl2,2
a310,polish_research_units_si,SI,0.2789028454242502,0.06879673588825999,0.24724111024411996,0.65,Cl2,2
a312,polish_research_units_si,SI,0.5173032555754935,0.12042445519576753,0.1678742615093078,1.0,Cl3,3
a313,polish_research_units_si,SI,0.5299282235324276,0.22727735522480366,0.09318916508750417,0.93,Cl3,3
a314,polish_research_units_si,SI,0.4380927967187901,0.20103172478288908,0.07869802697581095,0.78,Cl3,3
a315,polish_research_units_si,SI,0.4848756729043835,0.08105600953289566,0.1654219150596366,0.9,Cl3,3
a316,polish_research_units_si,SI,0.3670853627275058,0.14096090683178286,0.2667484115483224,0.79,Cl3,3
a319,polish_research_units_si,SI,0.30626762368623434,0.08140293453298993,0.10556236762902688,0.7,Cl2,2
a320,polish_research_units_si,SI,0.6793129966675212,0.20040575141315375,0.16921190502731023,0.6,Cl3,3
a322,polish_research_units_si,SI,0.17854396308638812,0.09057759241591783,0.1654219150596366,0.82,Cl2,2
a333,polish_research_units_si,SI,0.14111766213791335,0.13369056552545938,0.5254709619886301,0.74,Cl2,2
a346,polish_research_units_si,SI,0.7091771340681876,0.005656385871102279,0.0,0.4,Cl2,2
a359,polish_research_units_si,SI,0.34465521661112536,0.08845456225229743,0.5390703377549884,0.74,Cl3,3
a361,polish_research_units_si,SI,0.025185849782107153,0.125319114436228,1.0,0.33,Cl2,2
a362,polish_research_units_si,SI,0.0935016662394258,0.07174936931297538,0.09675621446884405,0.74,Cl2,2
a364,polish_research_units_si,SI,0.09016918738784928,0.16742902178462746,0.23888083825660464,0.68,Cl2,2
a387,polish_research_units_si,SI,0.18341450910023072,0.05883395490729184,0.008025861108014714,0.6,Cl1,1
a388,polish_research_units_si,SI,0.35093565752371186,0.26858782670342063,0.0839371307546539,0.7,Cl3,3
a389,polish_research_units_si,SI,0.3981030504998718,0.07921202773891632,0.013710846059525137,0.46,Cl2,2
a390,polish_research_units_si,SI,0.4502050756216355,0.07317477855249316,0.009029093746516555,0.58,Cl2,2
a391,polish_research_units_si,SI,0.48391438092796724,0.2506646253398545,0.06364953739828336,0.92,Cl3,3
a394,polish_research_units_si,SI,0.3390797231479108,0.034017504628809106,0.0055735146583435514,0.6,Cl2,2
a395,polish_research_units_si,SI,0.5802358369648809,0.09148638507920827,0.007579979935347231,0.63,Cl3,3
a396,polish_research_units_si,SI,0.44700076903358116,0.1910840274975772,0.06476424032995207,0.8,Cl3,3
a397,polish_research_units_si,SI,0.4369392463470906,0.3567972789013036,0.03801136996990302,0.78,Cl2,2
a398,polish_research_units_si,SI,0.5808126121507305,0.2147654296779254,0.03299520677739383,0.5,Cl2,2
a400,polish_research_units_si,SI,0.4407203281209946,0.213306082123181,0.18504068665700593,0.8,Cl3,3
a401,polish_research_units_si,SI,0.8347859523199179,0.45673807539585276,0.08349124958198641,0.83,Cl4,4
a402,polish_research_units_si,SI,0.5751730325557549,0.43947478571724863,0.04837810723442203,0.83,Cl4,4
a403,polish_research_units_si,SI,0.4042553191489362,0.18117781037532005,0.06810834912495821,0.58,Cl3,3
a404,polish_research_units_si,SI,0.7089848756729044,0.14681338074641667,0.013264964886857652,0.5,Cl2,2
a405,polish_research_units_si,SI,0.4027813381184312,0.3635208362400872,0.13142347564374093,1.0,Cl3,3
a406,polish_research_units_si,SI,0.4773135093565753,0.14293310003884052,0.12562702039906365,0.78,Cl3,3
a407,polish_research_units_si,SI,0.34721866188156886,0.12148408481562069,0.14491138111693236,0.63,Cl2,2
a410,polish_research_units_si,SI,0.3705460138426045,0.050115578817966196,0.0021179355701705497,0.35,Cl2,2
a412,polish_research_units_si,SI,0.29184824403998977,0.09318330084053895,0.0059079255378441655,0.6,Cl2,2
a413,polish_research_units_si,SI,0.35388361958472186,0.26651004762676905,0.008360271987515327,0.77,Cl2,2
a416,polish_research_units_si,SI,0.2872981286849526,0.21744655658082787,0.006688217590012262,0.9,Cl2,2
a418,polish_research_units_si,SI,0.3346577800563958,0.03798074566249477,0.009920856091851522,0.42,Cl2,2
a419,polish_research_units_si,SI,0.6547039220712638,0.20462918619691012,0.051276334856760676,0.67,Cl2,2
a420,polish_research_units_si,SI,0.3032555754934632,0.2496238503395717,0.03477873146806376,0.9,Cl2,2
a421,polish_research_units_si,SI,0.3649064342476288,0.0963546478522703,0.022182588340207338,0.8,Cl2,2
a422,polish_research_units_si,SI,0.3973981030504999,0.33934544302699604,0.04247018169657787,0.88,Cl2,2
a423,polish_research_units_si,SI,0.4549474493719559,0.06977717610591772,0.08973358599933119,0.8,Cl3,3
a424,polish_research_units_si,SI,0.4854524480902333,0.11407044840056263,0.027644632705384017,0.65,Cl3,3
a425,polish_research_units_si,SI,0.6296462445526788,0.1185540769343897,0.056961319808271106,0.8,Cl3,3
a426,polish_research_units_si,SI,0.7585875416559857,0.30469065225670944,0.101995318247687,0.91,Cl3,3
a429,polish_research_units_si,SI,0.7601256088182518,0.029677171203716626,0.15394047486344892,0.59,Cl3,3
a431,polish_research_units_si,SI,0.3907331453473468,0.17052117939416336,0.022294058633374206,0.9,Cl2,2
a432,polish_research_units_si,SI,0.7479492437836452,0.2832680335008881,0.041912830230743506,0.84,Cl3,3
